ID,Number,From,To,WaitToBoard,TotalTime
0,3,6,5,28,-3
1,6,6,3,28,-3
9,4,4,1,31,-22
3,4,1,2,73,-9
8,2,1,3,64,-18
2,1,1,5,77,-5
4,1,1,5,70,-12
7,3,3,5,89,-17
5,1,5,6,110,-13
6,4,5,6,106,-17
10,1,5,6,8,-192
12,1,5,6,3,-197
14,6,5,6,0,-200
11,3,6,1,22,-193
13,4,1,6,49,-197
16,5,4,2,13,-350
15,3,2,6,31,-350
17,2,5,1,8,-513
22,3,3,1,13,-523
23,2,1,3,30,-523
19,6,1,4,37,-516
18,3,3,5,64,-513
20,4,1,6,34,-519
24,6,1,2,113,-526
21,4,2,3,134,-519
25,1,1,5,110,-529
26,3,2,4,18,-696
29,4,2,6,10,-704
30,6,4,6,26,-706
28,6,1,2,81,-700
27,6,1,3,81,-700
31,2,5,6,13,-878
32,3,5,6,9,-882
36,1,6,2,16,-888
35,4,6,1,17,-887
37,5,6,1,15,-889
41,2,6,1,6,-898
40,3,1,6,63,-894
33,6,3,6,90,-882
34,6,4,1,125,-885
39,4,3,1,127,-894
38,5,2,1,140,-892
42,4,6,3,28,-1062
43,3,6,1,27,-1063
45,3,1,6,62,-1067
44,5,5,6,88,-1066
47,4,1,2,28,-1242
46,2,2,5,41,-1242
50,1,1,6,24,-1246
48,2,5,6,60,-1244
49,3,2,1,95,-1244
51,6,1,2,3,-1435
56,2,2,5,3,-1448
53,5,4,5,28,-1438
54,2,5,6,38,-1442
52,5,4,1,68,-1437
55,2,3,1,71,-1445
57,5,1,5,84,-1450
58,6,1,6,23,-1618
63,5,1,6,13,-1628
66,2,3,6,21,-1638
60,4,6,2,59,-1625
59,1,6,1,63,-1621
62,2,6,1,57,-1627
64,4,5,1,64,-1632
61,4,3,1,85,-1627
65,5,2,1,113,-1635
70,3,1,2,0,-1826
68,5,1,4,3,-1821
69,2,3,5,25,-1822
67,3,1,6,3,-1821
74,2,3,6,12,-1835
75,5,6,5,43,-1838
76,4,4,3,62,-1842
72,2,6,2,51,-1830
71,2,4,2,74,-1830
73,1,4,1,73,-1831
78,1,1,4,0,-2008
77,4,1,6,3,-2005
79,5,1,6,0,-2008
81,5,4,2,47,-2016
80,3,1,2,78,-2012
82,4,1,4,8,-2170
83,1,6,2,43,-2172
85,3,4,2,59,-2177
84,4,5,1,49,-2176
86,2,4,1,57,-2179
87,5,2,1,72,-2182
88,3,1,2,3,-2355
91,4,1,2,2,-2356
90,2,1,4,2,-2356
89,6,3,5,27,-2355
92,2,4,1,56,-2358
93,4,3,6,13,-2521
95,3,6,5,28,-2529
96,5,1,2,63,-2529
94,6,1,4,67,-2525
99,1,1,2,110,-2532
97,6,1,4,113,-2529
98,6,1,5,113,-2529
100,5,1,2,172,-2536
103,2,6,1,23,-2722
101,2,1,2,57,-2719
102,1,1,3,56,-2720
104,4,1,2,13,-2879
106,3,1,3,8,-2884
105,2,1,4,12,-2880
107,5,1,5,7,-2885
111,6,4,6,36,-2892
110,3,5,6,50,-2891
108,6,6,2,69,-2885
109,4,1,2,104,-2887
116,4,1,2,0,-3069
113,3,1,4,5,-3062
115,4,1,5,2,-3065
112,4,1,6,8,-3059
114,5,4,6,36,-3062
117,6,5,6,8,-3229
121,4,3,1,33,-3236
122,3,2,1,42,-3238
126,1,2,1,35,-3245
119,2,1,2,63,-3231
124,1,1,3,53,-3241
123,3,2,3,71,-3238
118,5,1,4,63,-3231
120,6,1,5,59,-3235
125,4,4,6,89,-3243
127,2,1,6,140,-3245
129,2,6,2,15,-3401
130,2,6,1,13,-3403
133,4,6,1,8,-3408
131,4,1,2,49,-3406
134,4,1,2,46,-3409
132,3,1,4,48,-3407
128,1,1,6,56,-3399
136,4,4,6,73,-3413
135,6,1,6,124,-3409
137,3,1,6,119,-3414
138,5,1,6,115,-3418
140,1,3,1,16,-3575
147,6,2,1,6,-3595
145,6,2,5,37,-3587
139,3,4,5,73,-3572
144,2,3,6,52,-3583
143,3,6,5,85,-3583
146,1,6,1,77,-3591
148,4,4,6,18,-3762
149,3,6,5,36,-3762
152,3,1,2,66,-3767
155,5,1,3,57,-3776
151,4,1,5,67,-3766
150,6,2,6,82,-3765
153,2,2,3,140,-3771
154,5,2,5,136,-3775
156,3,2,5,18,-3947
160,2,4,5,29,-3953
158,6,2,6,15,-3950
159,2,1,2,83,-3951
157,4,1,3,84,-3950
164,2,1,2,10,-4134
165,3,1,3,9,-4135
161,2,1,5,13,-4131
163,3,1,6,10,-4134
168,1,6,5,52,-4141
162,4,2,1,90,-4133
167,3,1,2,96,-4140
166,6,1,4,97,-4139
169,2,1,4,91,-4145
170,6,1,3,141,-4145
171,3,2,6,8,-4310
172,5,5,1,43,-4310
173,5,1,3,3,-4483
174,2,1,4,0,-4487
176,4,2,6,8,-4490
177,5,6,1,46,-4491
178,3,6,1,46,-4491
179,6,6,1,46,-4491
181,2,1,5,89,-4497
180,6,4,3,127,-4494
175,2,2,1,155,-4488
182,1,6,1,28,-4657
184,4,6,1,23,-4662
186,2,2,1,46,-4665
185,3,1,2,60,-4664
183,4,1,3,63,-4661
189,3,1,4,59,-4665
188,6,2,4,73,-4665
187,2,5,6,107,-4665
194,2,3,2,9,-4855
190,3,3,1,18,-4846
193,6,2,1,22,-4854
191,5,1,2,42,-4848
197,5,1,2,28,-4862
199,1,1,2,23,-4867
196,4,1,3,29,-4861
198,6,2,5,44,-4864
195,3,5,6,78,-4859
192,1,5,3,105,-4852
200,2,4,6,8,-5031
203,1,1,2,45,-5039
201,5,1,3,50,-5034
204,4,1,3,42,-5042
206,1,1,5,40,-5044
202,3,2,6,61,-5037
205,2,4,6,76,-5044
207,1,6,5,3,-5207
208,2,6,1,19,-5211
209,4,6,1,28,-5370
210,2,6,1,28,-5370
211,4,3,1,45,-5374
212,2,4,6,84,-5374
214,3,1,2,27,-5553
216,6,2,3,38,-5555
222,2,2,4,30,-5563
215,1,1,5,25,-5555
213,4,1,6,28,-5552
217,1,1,6,24,-5556
